,Proposed Site Name,wc_given (m3/yr),wc_min (m3/yr),wc_max (m3/yr),wc_p10 (m3/yr),wc_p50 (m3/yr),wc_p90 (m3/yr)
0,Antler,227760.0,,,,,
1,Arctic,14718990.0,,,,,
2,Bagdad,1512470.067,,,,,
3,Bingham Canyon,92364504.38,,,,,
4,Birch Lake,1105340.46,,,,,
5,Black Butte,4.161,,,,,
6,Bornite,614000.0,,,,,
7,Cactus,2387535.394,,,,,
8,Carlota,27591.09524,,,,,
9,Chino,1265147.918,,,,,
10,CK Gold,795845.1312,,,,,
11,Contact,1392728.98,,,,,
12,Continental,3868691.61,,,,,
13,Copper Creek,1752000.0,,,,,
14,Copper Flat,6714943.295,,,,,
15,Copper World,6290751.116,,,,,
16,Copperwood,995136.0,,,,,
17,CuMo,59688384.84,,,,,
18,Empire,397922.5656,,,,,
19,Florence,125345.6082,,,,,
20,Gunnison,573008.4945,,,,,
21,Johnson Camp,529237.0122,,,,,
22,Mason,9867844.887,,,,,
23,Miami,85611.51324,,,,,
24,Moonlight-Superior,2820720.0,,,,,
25,Morenci,102733815.9,,,,,
26,NorthMet,1512105.749,,,,,
27,Pinto Valley,3542206.47,,,,,
28,Pumpkin Hollow,648613.7819,,,,,
29,Resolution,4304847.332,,,,,
30,Robinson,593208.5478,,,,,
31,Safford,2368585.2,,,,,
32,Santa Cruz,3958425.0,,,,,
33,Sierrita,1712230.265,,,,,
34,Twin Metals,5526702.3,,,,,
35,Tyrone,409032.7855,,,,,
36,White Pine North,682437.2,,,,,
37,Yerington/MacArthur,5968838.484,,,,,
